Handle,Title,Vendor,Product Category,Type,Tags,Description,Features,Specifications,Material,Color,Length,Width,Height,Variant SKU,Variant Price,Image Src,Variant Image,All URLs,SEO Title,SEO Description
artiss-standing-desk-electric-sit-stand-desks,Artiss Standing Desk Electric Sit Stand Desks,Artiss,Furniture > Office Furniture > Desks,Desks,"Brand_Artiss, Color_White, Price Range_$201-$300, Type_Office Desks, Type_Sit Stand Desk",,"Motorised height-adjustable frame | Dual-motor lifting system | Sturdy powder-coated metal frame | Adjustable frame length | Easy-to-use control panel | Smooth and quiet operation | Reinforced rubber foot pads ensure a stable balance | Matching desktops available in-store | Easy set-up | Desktop material: Particle board | Desktop dimensions: 140cm x 70cm x 2.5cm | Desktop thickness: 2.5cm | Desktop colour: White, pine | Frame material: Metal | Frame colour: Grey, Black | Frame height range: 70-120cm | Frame length range: 85cm-130cm | Frame width: 48cm | Weight capacity: | Max speed: 25mm/s | Compatible desktop length: 100cm to 160cm | Compatible desktop width: 50cm to 80cm | Input voltage: 240V/50Hz | Control panel cable length: 1.5m | Power cord length: 3m","Desktop material: Particle board | Desktop dimensions: 140cm x 70cm x 2.5cm | Desktop thickness: 2.5cm | Desktop colour: White, pine | Frame material: Metal | Frame colour: Grey, Black | Frame height range: 70-120cm | Frame length range: 85cm-130cm | Frame width: 48cm | Weight capacity: | Max speed: 25mm/s | Compatible desktop length: 100cm to 160cm | Compatible desktop width: 50cm to 80cm | Input voltage: 240V/50Hz | Control panel cable length: 1.5m | Power cord length: 3m",Particle Board | Rubber | Metal | Pine,Black | White | Grey | Pine,140,70,2.5,HASD-114G-GYDF-NWDB-120,210.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-GYDF-NWDB-140-183595-00.jpg?v=1756961275,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-GYDF-NWDB-120-183596-00.jpg?v=1756961275,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-GYDF-NWDB-140-183595-00.jpg?v=1756961275 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-GYDF-NWDB-120-183596-00.jpg?v=1756961275,Adjustable & Stylish Artiss Electric Sit Stand Desk,"Upgrade your workspace with the Artiss Electric Sit Stand Desk. Smooth transitions, dual-motor, quiet operation, and customizable height for comfort and efficiency."
artiss-standing-desk-motorised-electric-dual-motor,Artiss Standing Desk Motorised Electric Dual Motor,Artiss,Furniture > Office Furniture > Desks,Desks,"Brand_Artiss, Color_Black, Color_Oak, Color_White, Price Range_$201-$300, Type_Office Desks, Type_Sit Stand Desk",,"Motorised height-adjustable frame | Dual motors | High-quality powder-coated metal frame | Digital control panel | Save up to three preset heights | Sit/stand reminder mechanism | Adjustable height rubber foot pads | Smooth and ultra-quiet operation | Stepless adjustable frame length | Compatible with 120cm to 180cm length and 60cm to 80cm width desktops | Easy set-up | Desktop material: Particle board | Desktop dimensions: 120cm x 60cm x 2.5cm | Desktop thickness: 2.5cm | Desktop colour: White, pine | Frame material: Metal | Frame colour: Black, White | Frame height range: 70-120cm | Frame length range: 110-170cm | Frame width: 58cm | Weight capacity: 100kg | Max speed: 32mm/s | Compatible desktop length: 120-180cm | Compatible desktop width: 60-80cm | Input voltage: 240V/50Hz | Control panel cable length: 1.45m | Power cord length: 3m","Desktop material: Particle board | Desktop dimensions: 120cm x 60cm x 2.5cm | Desktop thickness: 2.5cm | Desktop colour: White, pine | Frame material: Metal | Frame colour: Black, White | Frame height range: 70-120cm | Frame length range: 110-170cm | Frame width: 58cm | Weight capacity: 100kg | Max speed: 32mm/s | Compatible desktop length: 120-180cm | Compatible desktop width: 60-80cm | Input voltage: 240V/50Hz | Control panel cable length: 1.45m | Power cord length: 3m",Particle Board | Rubber | Metal | Pine,Black | White | Pine,120,60,2.5,HASD-268-BKDF-NWDB-120,276.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-268-BKDF-NWDB-120-183438-00_9615c5f6-b70c-441f-971b-472d0814c784.jpg?v=1756961284,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-268-BKDF-NWDB-120-183438-00_9615c5f6-b70c-441f-971b-472d0814c784.jpg?v=1756961284,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-268-BKDF-NWDB-120-183438-00_9615c5f6-b70c-441f-971b-472d0814c784.jpg?v=1756961284 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-268-BKDF-NWDB-120-183438-00_9615c5f6-b70c-441f-971b-472d0814c784.jpg?v=1756961284,Artiss Motorised Electric Standing Desk - Dual Motor,"Enhance your workspace with the Artiss dual motor standing desk. Easy height adjustments, and a solid build for a comfortable and healthier work experience."
artiss-standing-desk-top-whtie-pine,Artiss Standing Desk Top Whtie Pine,Artiss,Furniture > Office Furniture > Desks,Desks,"Brand_Artiss, Color_White, Price Range_$1-$100",,"Pre-drilled holes | Splice colour design | Eco-friendly material | Anti-scratch finish | Smooth edges | Natural grain pattern | Smooth surface | Brand: Artiss | Material: Particle board | Overall dimensions: 140cm x 70cm x 2.5cm | Thickness: 2.5cm | Colour: White, pine",Brand: Artiss | Material: Particle board | Overall dimensions: 140cm x 70cm x 2.5cm | Thickness: 2.5cm,Particle Board | Wood | Pine,White | Green | Natural | Pine,140,70,2.5,DB-B-120-WH-NW,41.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/DB-B-140-WH-NW-174903-00_a4f3b0d7-447b-4c24-a201-812ebea42804.jpg?v=1756961288,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/DB-B-120-WH-NW-174904-00_82e6006b-60dc-4003-a275-64d966a3185e.jpg?v=1756961288,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/DB-B-140-WH-NW-174903-00_a4f3b0d7-447b-4c24-a201-812ebea42804.jpg?v=1756961288 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/DB-B-120-WH-NW-174904-00_82e6006b-60dc-4003-a275-64d966a3185e.jpg?v=1756961288,Artiss White Pine Standing Desk Top - Durable & Stylish Design,"Upgrade your desk with the Artiss White Pine Desk Top. Featuring a natural grain, anti-scratch finish, and smooth edges, it fits seamlessly into Artiss motorized frames."
artiss-standing-desk-motorised-sit-stand-desks-rustic-brown,Artiss Standing Desk Motorised Sit Stand Desks Rustic Brown,Artiss,Furniture > Office Furniture > Desks,Desks,"Brand_Artiss, Color_Brown, Price Range_$201-$300, Type_Office Desks, Type_Sit Stand Desk",,Motorised height-adjustable frame | High-quality powder-coated metal frame | Easy-to-use control panel | Stepless adjustable frame length | Smooth and ultra-quiet operation | Adjustable height rubber foot pads | Ideal for work or home office | Compatible with 100cm to 160cm length and 50cm to 80cm width desktops | Matching desktops available in-store | Motorised height-adjustable frame | Material: Particle board | Overall dimensions: 120cm x 60cm | Thickness: 2.5cm | Colour: Rustic Brown | Frame colour: White | Max speed: 25mm/s | Max. load: 70kg | Height: 70cm-120 | Frame length: 85cm-130cm | Frame width: 48cm | Foot length: 65cm | Compatible desktop length: 100cm to 160cm | Compatible desktop width: 50cm to 80cm | Input voltage: 240V/50Hz | Power plug: Australian standard | Control panel cable length: 1.5m | Power cord length: 3m,Motorised height-adjustable frame | Material: Particle board | Overall dimensions: 120cm x 60cm | Thickness: 2.5cm | Colour: Rustic Brown | Frame colour: White | Max speed: 25mm/s | Max. load: 70kg | Height: 70cm-120 | Frame length: 85cm-130cm | Frame width: 48cm | Foot length: 65cm | Compatible desktop length: 100cm to 160cm | Compatible desktop width: 50cm to 80cm | Input voltage: 240V/50Hz | Power plug: Australian standard | Control panel cable length: 1.5m | Power cord length: 3m,Particle Board | Rubber | Metal,White | Brown | Natural | Rustic,85,48,70,HASD-114G-WHDF-RBDB-120,258.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-WHDF-RBDB-120-61877-00_aefd9edd-25dd-45f4-93d8-d875dbd46a1d.jpg?v=1756961290,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-WHDF-RBDB-120-61877-00_aefd9edd-25dd-45f4-93d8-d875dbd46a1d.jpg?v=1756961290,https://services.dropshipzone.com.au/admin/api/public/images/logo.png?sku=HASD-114G-WHDF-RBDB-120&amp;rid=16068 | https://services.dropshipzone.com.au/admin/api/public/images/logo.png?sku=HASD-114G-WHDF-RBDB-120&amp;rid=16068 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-WHDF-RBDB-120-61877-00_aefd9edd-25dd-45f4-93d8-d875dbd46a1d.jpg?v=1756961290 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-WHDF-RBDB-120-61877-00_aefd9edd-25dd-45f4-93d8-d875dbd46a1d.jpg?v=1756961290, Adjustable Artiss Rustic Brown Motorised Sit Stand Desk,"Transform your workspace with the Artiss Rustic Brown Sit Stand Desk. Enjoy easy height adjustments, a stylish design, and a natural aesthetic for any setting."
artiss-standing-desk-motorised-rustic-brown,Artiss Standing Desk Motorised Rustic Brown,Artiss,Furniture > Office Furniture > Desks,Desks,"Brand_Artiss, Color_Black, Color_Brown, Color_White, Price Range_$201-$300, Type_Office Desks, Type_Sit Stand Desk",,"Motorised height-adjustable frame | High-quality powder-coated metal frame | Easy-to-use control panel | Anti-scratch finish | Stepless adjustable frame length | Smooth and ultra-quiet operation | Adjustable height rubber foot pads | Ideal for work or home office | Compatible with 100cm to 160cm length and 50cm to 80cm width desktops | Compatible with all Artiss motorised desk frames | Brand: Artiss | Material: Particle board | Overall dimensions: 120cm x 60cm | Thickness: 2.5cm | Colour: Rustic Brown | Frame Colour: Black, White | Max speed: 25mm/s | Max. load: 70kg | Height: 70cm- 120cm | Frame length: 85cm-130cm | Frame width: 48cm | Foot length: 65cm | Input voltage: 240V/50Hz | Power plug: Australian standard | Control panel cable length: 1.5m | Power cord length: 3m","Brand: Artiss | Material: Particle board | Overall dimensions: 120cm x 60cm | Thickness: 2.5cm | Colour: Rustic Brown | Frame Colour: Black, White | Max speed: 25mm/s | Max. load: 70kg | Height: 70cm- 120cm | Frame length: 85cm-130cm | Frame width: 48cm | Foot length: 65cm | Input voltage: 240V/50Hz | Power plug: Australian standard | Control panel cable length: 1.5m | Power cord length: 3m",Particle Board | Rubber | Metal,Black | White | Brown | Rustic,85,48,70,HASD-114G-BKDF-RBDB-120,275.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-BKDF-RBDB-120-61875-00_21d1d85c-56c9-4146-960a-917759e896c4.jpg?v=1756961292,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-BKDF-RBDB-120-61875-00_21d1d85c-56c9-4146-960a-917759e896c4.jpg?v=1756961292,https://services.dropshipzone.com.au/admin/api/public/images/logo.png?sku=HASD-114G-BKDF-RBDB-120&amp;rid=16068 | https://services.dropshipzone.com.au/admin/api/public/images/logo.png?sku=HASD-114G-BKDF-RBDB-120&amp;rid=16068 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-BKDF-RBDB-120-61875-00_21d1d85c-56c9-4146-960a-917759e896c4.jpg?v=1756961292 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-BKDF-RBDB-120-61875-00_21d1d85c-56c9-4146-960a-917759e896c4.jpg?v=1756961292,Artiss Motorised Rustic Brown Standing Desk - Stylish & Efficient,"Elevate your workspace with the Artiss Rustic Brown Motorised Standing Desk. Enjoy height adjustments, scratch-resistant surface, and ergonomic comfort for any setting."
artiss-standing-desk-motorised-sit-stand-desks,Artiss Standing Desk Motorised Sit Stand Desks,Artiss,Furniture > Office Furniture > Desks,Desks,"Brand_Artiss, Price Range_$201-$300, Type_Office Desks, Type_Sit Stand Desk",,"Motorised height-adjustable frame | Dual-motor lifting system | Sturdy powder-coated metal frame | Adjustable frame length | Easy-to-use control panel | Smooth and quiet operation | Reinforced rubber foot pads ensure a stable balance | Desktop material: Particle board | Desktop dimensions: 120cm x 60cm x 2.5cm | Desktop thickness: 2.5cm | Desktop colour: White, Black, Walunt, White Pine | Frame material: Metal | Frame colour: White | Frame height range: 70-120cm | Frame length range: 85cm-130cm | Frame width: 48cm | Max speed: 25mm/s | Compatible desktop length: 100cm to 160cm | Compatible desktop width: 50cm to 80cm | Input voltage: 240V/50Hz | Control panel cable length: 1.5m | Power cord length: 3m","Desktop material: Particle board | Desktop dimensions: 120cm x 60cm x 2.5cm | Desktop thickness: 2.5cm | Desktop colour: White, Black, Walunt, White Pine | Frame material: Metal | Frame colour: White | Frame height range: 70-120cm | Frame length range: 85cm-130cm | Frame width: 48cm | Max speed: 25mm/s | Compatible desktop length: 100cm to 160cm | Compatible desktop width: 50cm to 80cm | Input voltage: 240V/50Hz | Control panel cable length: 1.5m | Power cord length: 3m",Particle Board | Rubber | Steel | Metal | Pine,Black | White | Pine,120,60,2.5,HASD-114G-WHDF-NWDB-120,210.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-WHDF-NWDB-140-183597-00.jpg?v=1756961296,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-WHDF-NWDB-120-183598-00.jpg?v=1756961297,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-WHDF-NWDB-140-183597-00.jpg?v=1756961296 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-WHDF-NWDB-120-183598-00.jpg?v=1756961297,Adjustable & Elegant Design Artiss Motorised Sit Stand Desk,"Experience comfort and versatility with the Artiss Motorised Sit Stand Desk. Effortlessly switch between heights with dual motors, a remote control."
artiss-standing-desk-motorised,Artiss Standing Desk Motorised Adjustable Desk,Artiss,Furniture > Office Furniture > Desks,Desks,"Brand_Artiss, Price Range_$201-$300, Type_Computer Desks, Type_Office Desks, Type_Sit Stand Desk",,"Motorised height-adjustable frame | High-quality powder-coated metal frame | Easy-to-use control panel | Stepless adjustable frame length | Smooth and ultra-quiet operation | Adjustable height rubber foot pads | Ideal for work or home office | Anti-scratch finish &amp; Matte finish | Compatible with 100cm to 160cm length and 50cm to 80cm width desktops | Motorised height-adjustable frame | Brand: Artiss | Frame colour: Black, White | Max speed: 25mm/s | Max. load: 70kg | Material: Particle board | Overall dimensions: 140cm x 70cm | Overall dimensions: 120cm x 60cm | Desktop Thickness: 2.5cm | Height: 70cm- 120cm | Frame length: 85cm-130cm | Frame width: 48cm | Foot length: 65cm | Input voltage: 240V/50Hz | Power plug: Australian standard | Control panel cable length: 1.5m | Power cord length: 3m","Motorised height-adjustable frame | Brand: Artiss | Frame colour: Black, White | Max speed: 25mm/s | Max. load: 70kg | Material: Particle board | Overall dimensions: 140cm x 70cm | Overall dimensions: 120cm x 60cm | Desktop Thickness: 2.5cm | Height: 70cm- 120cm | Frame length: 85cm-130cm | Frame width: 48cm | Foot length: 65cm | Input voltage: 240V/50Hz | Power plug: Australian standard | Control panel cable length: 1.5m | Power cord length: 3m",Particle Board | Rubber | Metal,Black | White,85,48,70,HASD-114G-BKDF-WHDB-140,290.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-BKDF-NTDB-140-61851-00_e9cc5584-1f98-43b3-bd6a-e1ac3c1e4715.jpg?v=1756961299,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-BKDF-WHDB-140-61853-00_c9eabd34-7fbe-4ce9-b02a-31132b69e123.jpg?v=1756961300,https://services.dropshipzone.com.au/admin/api/public/images/logo.png?sku=HASD-114G-BKDF-WHDB-140&amp;rid=16068 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-BKDF-NTDB-140-61851-00_e9cc5584-1f98-43b3-bd6a-e1ac3c1e4715.jpg?v=1756961299 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-114G-BKDF-WHDB-140-61853-00_c9eabd34-7fbe-4ce9-b02a-31132b69e123.jpg?v=1756961300,Artiss Motorised Standing Desk 140CM - Elegant & Adjustable,Create a beautiful workspace with the Artiss Motorised Standing Desk 140CM. Enjoy easy height adjustments and a scratch-proof surface for lasting use.
artiss-computer-desk-l-shape-cpu-stand,Artiss Corner Computer Desk L-Shape CPU Stand,Artiss,Furniture > Office Furniture > Desks,Desks,"Brand_Artiss, Price Range_$101-$200, Type_ L Shaped Desk, Type_Computer Desks, Type_Corner Desks, Type_Study Desks",,"L-shape design | Wide desk surface | Ample storage space | Premium particle board desktop | Good weight holding capacity | CPU stand | Space-saving design | Safe and smooth edges | Anti-slip base | Built-in floor protectors | Sturdy and durable | Powder-coated steel frame | Convenient and practical design | Easy assembly | Brand: Artiss | Desktop material: Particle board | Frame material: Powder-coated steel | Overall dimensions: 147cm x 112cm x 76.5cm | Weight capacity: 150kg | Colour: Brown, Oak","Brand: Artiss | Desktop material: Particle board | Frame material: Powder-coated steel | Overall dimensions: 147cm x 112cm x 76.5cm | Weight capacity: 150kg | Colour: Brown, Oak",Particle Board | Steel | Oak,Brown | Oak,147,112,76.5,MET-DESK-L-003-BR,123.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/MET-DESK-L-003-BR-00_f2df654a-c724-4c69-9487-bdf70a20c3d9.jpg?v=1756961305,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/MET-DESK-L-003-BR-00_f2df654a-c724-4c69-9487-bdf70a20c3d9.jpg?v=1756961305,https://services.dropshipzone.com.au/admin/api/public/images/logo.png?sku=MET-DESK-L-003-BR&amp;rid=16068 | https://services.dropshipzone.com.au/admin/api/public/images/logo.png?sku=MET-DESK-L-003-BR&amp;rid=16068 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/MET-DESK-L-003-BR-00_f2df654a-c724-4c69-9487-bdf70a20c3d9.jpg?v=1756961305 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/MET-DESK-L-003-BR-00_f2df654a-c724-4c69-9487-bdf70a20c3d9.jpg?v=1756961305,Artiss L-Shape Computer Desk with CPU Stand - EasyMart Offer,"Optimize your workspace with the Artiss L-Shape Computer Desk. Space-saving design, and a sturdy structure enhance productivity at home. Shop now at EasyMart!"
artiss-standing-desk-top-only,Artiss Standing Desk Top Only,Artiss,Furniture > Office Furniture > Desks,Desks,"Brand_Artiss, Color_Black, Color_Brown, Color_Oak, Color_Walnut, Color_White, Price Range_$1-$100",,"Pre-drilled holes | Eco-friendly material | Anti-scratch finish | Smooth edges | Matt finish | Easy assembly | Compatible with all Artiss motorised desk frames | Brand: Artiss | Material: Particle board | Overall dimensions: 120cm x 60cm | Thickness: 2.5cm | Colour: Black, White, Walnut, White Oak, Rustic Brown","Brand: Artiss | Material: Particle board | Overall dimensions: 120cm x 60cm | Thickness: 2.5cm | Colour: Black, White, Walnut, White Oak, Rustic Brown",Particle Board | Walnut | Wood | Oak,Black | White | Brown | Oak | Walnut | Rustic,,,,DB-B-120-BK,55.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/DB-B-120-BK-72617-00_611c8d39-f5b2-430d-8d60-dfaee4235b41.jpg?v=1756961309,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/DB-B-120-BK-72617-00_611c8d39-f5b2-430d-8d60-dfaee4235b41.jpg?v=1756961309,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/DB-B-120-BK-72617-00_611c8d39-f5b2-430d-8d60-dfaee4235b41.jpg?v=1756961309 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/DB-B-120-BK-72617-00_611c8d39-f5b2-430d-8d60-dfaee4235b41.jpg?v=1756961309,Upgrade your workspace with Artiss Standing Desk Top Only,"Enhance your office with the durable Artiss Standing Desk Top. Anti-scratch, and easy to install, it's the perfect upgrade for a modern, functional workspace."
artiss-standing-desk-motorised-dual-motor,Artiss Standing Desk Motorised Dual Motor,Artiss,Furniture > Office Furniture > Desks,Desks,"Brand_Artiss, Color_Black, Color_Brown, Color_Oak, Color_Walnut, Color_White, Price Range_$301-$400, Type_Office Desks, Type_Sit Stand Desk",,"Motorised height-adjustable frame | Dual motors | High-quality powder-coated metal frame | Digital control panel | Save up to three preset heights | Sit/stand reminder mechanism | Adjustable height rubber foot pads | Smooth and ultra-quiet operation | Stepless adjustable frame length | Compatible with 120cm to 180cm length and 60cm to 80cm width desktops | Easy assembly | Brand: Artiss | Material: Particle board | Overall dimensions: 120cm x 60cm | Desktop Colour: Black, White, Walnut, White Oak, Rustic Brown | Frame Colour: Black, White | Max speed: 32mm/s | Max. load: 100kg | Height: 70cm- 120cm | Adjustable frame length: 110cm to 170cm | Frame width: 58cm | Foot length: 67cm | Input voltage: 240V/50Hz | Power plug: Australian standard | Control panel cable length: 1.45m | Adaptor cable length: 3m","Brand: Artiss | Material: Particle board | Overall dimensions: 120cm x 60cm | Desktop Colour: Black, White, Walnut, White Oak, Rustic Brown | Frame Colour: Black, White | Max speed: 32mm/s | Max. load: 100kg | Height: 70cm- 120cm | Adjustable frame length: 110cm to 170cm | Frame width: 58cm | Foot length: 67cm | Input voltage: 240V/50Hz | Power plug: Australian standard | Control panel cable length: 1.45m | Adaptor cable length: 3m",Particle Board | Rubber | Walnut | Metal | Oak,Black | White | Brown | Oak | Walnut | Rustic,110,58,70,HASD-268-BKDF-NTDB-120,330.00,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-268-BKDF-NTDB-120-66850-00_3ff5360c-f7e9-42c1-9364-effb673954b6.jpg?v=1756961323,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-268-BKDF-NTDB-120-66850-00_3ff5360c-f7e9-42c1-9364-effb673954b6.jpg?v=1756961323,https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-268-BKDF-NTDB-120-66850-00_3ff5360c-f7e9-42c1-9364-effb673954b6.jpg?v=1756961323 | https://cdn.shopify.com/s/files/1/0255/8191/2144/files/HASD-268-BKDF-NTDB-120-66850-00_3ff5360c-f7e9-42c1-9364-effb673954b6.jpg?v=1756961323,Artiss Digital Control standing desk with dual motor,"Improve your work setup with the Artiss dual motor standing desk. Efficient height adjustment, a digital control pad, and a durable for maximum comfort. Shop now!"
