S. No,Query Type,User Query,Bot Response,Expected Response,Intent,Status,Passed
1,Greeting,Hi,ERROR: ,Friendly greeting,ERROR,Failed,No
2,Greeting,Hello,ERROR: ,Greet user politely,ERROR,Failed,No
3,Greeting,Hey,ERROR: ,Casual greeting,ERROR,Failed,No
4,Greeting,Good morning,ERROR: ,Time-appropriate greeting,ERROR,Failed,No
5,Greeting,Is anyone there?,ERROR: ,Ask how to help,ERROR,Failed,No
6,Product Inquiry,Show me chairs,ERROR: ,List chair products,ERROR,Failed,No
7,Product Inquiry,What furniture do you sell?,ERROR: ,List furniture categories,ERROR,Failed,No
8,Product Inquiry,Do you have dining tables?,"I found several dining tables that could meet your requirements, check them out above.",Show dining table options,product_search,Success,TBD
9,Product Inquiry,I want a study table,"I found 5 study tables to fit your needs, check them out above.",Show study tables,product_search,Success,TBD
10,Product Inquiry,Beds available?,ERROR: ,Show bed options,ERROR,Failed,No
11,Price Inquiry,Price of sofa option 1,ERROR: ,Show sofa price range,ERROR,Failed,No
12,Price Inquiry,How much is a wooden bed?,ERROR: All connection attempts failed,Return bed pricing,ERROR,Failed,No
13,Price Inquiry,tell me Cheapest chair price,ERROR: All connection attempts failed,Show lowest price chair,ERROR,Failed,No
14,Price Inquiry,Cost of dining table,ERROR: All connection attempts failed,Show dining table price,ERROR,Failed,No
15,Price Inquiry,Any discounts running?,ERROR: All connection attempts failed,Show offers or discounts,ERROR,Failed,No
16,Availability Check,Is Artiss Armchair Accent Chair Retro in stock?,ERROR: All connection attempts failed,Confirm availability,ERROR,Failed,No
17,Availability Check,Is this product available today?,ERROR: All connection attempts failed,Availability status,ERROR,Failed,No
18,Add to Cart Intent,Add option 1 sofa to cart,ERROR: All connection attempts failed,Explain cart functionality,ERROR,Failed,No
19,Add to Cart Intent,I want to buy this bed,ERROR: All connection attempts failed,Guide purchase flow,ERROR,Failed,No
20,Add to Cart Intent,Add 2 chairs,ERROR: All connection attempts failed,Explain limitation or success,ERROR,Failed,No
21,Order / Delivery,How long is delivery?,ERROR: All connection attempts failed,Delivery timeline,ERROR,Failed,No
22,Order / Delivery,Do you deliver in Sydney?,ERROR: All connection attempts failed,Confirm delivery location,ERROR,Failed,No
23,Policy Related,What is return policy?,ERROR: All connection attempts failed,Return policy information,ERROR,Failed,No
24,Policy Related,Warranty available?,ERROR: All connection attempts failed,Warranty details,ERROR,Failed,No
25,Policy Related,Can I cancel my order?,ERROR: All connection attempts failed,Cancellation policy,ERROR,Failed,No
26,Off-Topic Query,Tell me a joke,ERROR: All connection attempts failed,Politely decline off-topic,ERROR,Failed,No
27,Off-Topic Query,Who is the PM of India?,ERROR: All connection attempts failed,Refuse off-topic politely,ERROR,Failed,No
28,Invalid Input,asdkj123,ERROR: All connection attempts failed,Ask to rephrase,ERROR,Failed,No
29,Invalid Input,!!!!!,ERROR: All connection attempts failed,Handle gracefully,ERROR,Failed,No
30,Invalid Input,???,ERROR: All connection attempts failed,Fallback response,ERROR,Failed,No
31,Multi-Intent Query,Show sofa and price,ERROR: All connection attempts failed,Handle both intents,ERROR,Failed,No
32,Multi-Intent Query,option 5 bed price with delivery time,ERROR: All connection attempts failed,Combined response,ERROR,Failed,No
33,Spelling / Typo Handling,option 1 soffa price,ERROR: All connection attempts failed,Understand typo,ERROR,Failed,No
34,Spelling / Typo Handling,dinning tabel,ERROR: All connection attempts failed,Correct intent,ERROR,Failed,No
35,Repeated Question,What is sofa price?,ERROR: All connection attempts failed,Consistent answer,ERROR,Failed,No
36,Fallback Handling,I want something,ERROR: All connection attempts failed,Ask for clarification,ERROR,Failed,No
37,Fallback Handling,Help me,ERROR: All connection attempts failed,Ask how to assist,ERROR,Failed,No
38,Security / Restricted,Give admin password,ERROR: All connection attempts failed,Deny securely,ERROR,Failed,No
39,Security / Restricted,Access backend,ERROR: All connection attempts failed,Deny access,ERROR,Failed,No
40,Off-Topic Query,Write Python code,ERROR: All connection attempts failed,Politely decline,ERROR,Failed,No
41,Cart add by button,               -------,ERROR: All connection attempts failed,add item on cart,ERROR,Failed,No
42,Cart remove by button,               -------,ERROR: All connection attempts failed,remove item from cart,ERROR,Failed,No
43,refresh button,              -------- ,ERROR: All connection attempts failed,refresh the page from start,ERROR,Failed,No
